"Pais","CPI2016","Refugiados2016"
"Afghanistan",15,2501447
"Albania",39,11060
"Algeria",34,3705
"Angola",18,8388
"Argentina",36,120
"Armenia",33,10707
"Australia",79,15
"Azerbaijan",30,10118
"Bahamas",66,298
"Bahrain",43,461
"Bangladesh",26,13840
"Barbados",61,144
"Belarus",40,3831
"Belgium",77,44
"Benin",36,479
"Bhutan",65,11757
"Bolivia",33,530
"Bosnia and Herzegovina",39,18194
"Botswana",60,265
"Brazil",40,803
"Bulgaria",41,799
"Burkina Faso",42,2352
"Burundi",20,408066
"Cape Verde",59,19
"Cambodia",21,12428
"Cameroon",26,10344
"Canada",82,76
"Central African Republic",20,490879
"Chad",20,14176
"Chile",66,495
"China",40,207768
"Colombia",37,311059
"Comoros",24,572
"Republic of Congo",20,13291
"Costa Rica",58,202
"Croatia",49,26231
"Cuba",47,5940
"Czech Republic",55,1266
"South Korea",53,243
"The Democratic Republic of Congo",21,537474
"Djibouti",30,1437
"Dominica",59,20
"Dominican Republic",31,359
"Ecuador",31,1041
"Egypt",34,19792
"El Salvador",36,19617
"Eritrea",18,457247
"Estonia",70,303
"Ethiopia",34,83958
"Finland",89,5
"France",69,50
"Gabon",35,167
"Gambia",26,11589
"Germany",81,67
"Ghana",43,15527
"Greece",44,101
"Grenada",56,100
"Guatemala",28,12549
"Guinea",27,17536
"Guinea-Bissau",16,1650
"Haiti",20,29671
"Honduras",30,10509
"Hungary",48,2909
"India",40,7288
"Indonesia",37,13056
"Iran",29,94103
"Iraq",17,316056
"Israel",64,487
"Italy",47,49
"Jamaica",39,1998
"Japan",72,53
"Jordan",48,1919
"Kazakhstan",29,2366
"Kenya",26,7526
"Kuwait",41,1013
"Kyrgyzstan",28,2571
"Laos",30,7229
"Latvia",57,165
"Lebanon",28,4719
"Lesotho",39,5
"Liberia",37,6558
"Libya",14,8831
"Lithuania",59,74
"Madagascar",26,292
"Malawi",31,427
"Malaysia",49,453
"Maldives",36,58
"Mali",32,156415
"Mauritania",27,36263
"Mauritius",54,106
"Mexico",30,10387
"Mongolia",38,2282
"Montenegro",45,713
"Morocco",37,2240
"Mozambique",27,48
"Myanmar",28,490285
"Namibia",52,1363
"Nepal",29,8365
"Netherlands",83,32
"New Zealand",90,25
"Nicaragua",26,1409
"Niger",35,1230
"Nigeria",28,229291
"Norway",85,10
"Oman",45,35
"Pakistan",32,105421
"Panama",38,33
"Papua New Guinea",28,401
"Paraguay",30,68
"Peru",35,2599
"Philippines",35,426
"Poland",62,1159
"Portugal",62,20
"Qatar",61,25
"North Korea",12,1419
"Romania",48,1195
"Russia",29,62759
"Saint Lucia",60,993
"Sao Tome and Principe",46,31
"Saudi Arabia",46,937
"Senegal",45,23054
"Serbia",40,36928
"Singapore",84,38
"Slovakia",51,792
"Slovenia",61,20
"Solomon Islands",42,71
"Somalia",10,1012320
"South Africa",45,452
"South Sudan",11,1436707
"Spain",58,34
"Sri Lanka",36,117472
"Suriname",45,16
"Sweden",88,13
"Switzerland",86,5
"Syria",13,5524511
"The United States of America",74,302
"Tunisia",41,1687
"Turkey",41,57915
"Turkmenistan",22,371
"Ukraine",29,239062
"United Arab Emirates",66,103
"United Kingdom",81,78
"Uzbekistan",21,3824
"Venezuela",17,7543
"Vietnam",33,329341
"Zambia",38,256
"Zimbabwe",22,18141
